id,year,month,day,hour,minute,second,locationName,latitude,longitude,eqDepth,eqMagnitude,damageAmountOrder,eqMagMb,publish,damageAmountOrderTotal,housesDamagedTotal,housesDamagedAmountOrderTotal,country,regionCode,injuries,injuriesAmountOrder,housesDestroyed,housesDestroyedAmountOrder,housesDamaged,housesDamagedAmountOrder,eqMagMw,eqMagMs,injuriesTotal,injuriesAmountOrderTotal,housesDestroyedTotal,housesDestroyedAmountOrderTotal,deaths,deathsAmountOrder,damageMillionsDollars,eqMagMl,deathsTotal,deathsAmountOrderTotal,damageMillionsDollarsTotal,tsunamiEventId,intensity,volcanoEventId,area,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,time
5569,2000,7,6,19,30,20.3,NICARAGUA:  MASAYA,11.884,-85.988,33.0,5.4,3.0,5.0,True,3.0,1130.0,4.0,NICARAGUA,100,42.0,1.0,357.0,3.0,1130.0,4.0,5.4,5.1,42.0,1.0,357.0,3.0,7.0,1.0,,,7.0,1.0,,,,,,,,,,2000-07-06 00:00:00+00:00
5570,2000,7,12,1,10,42.6,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33.0,5.4,2.0,5.2,True,2.0,225.0,3.0,INDONESIA,60,6.0,1.0,,,225.0,3.0,5.4,5.0,6.0,1.0,,,,,,,,,,,,,,,,,,2000-07-12 00:00:00+00:00
5571,2000,7,15,1,30,30.5,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,10.0,6.1,1.0,5.5,True,1.0,20.0,1.0,JAPAN,30,10.0,1.0,,,20.0,1.0,6.1,5.9,10.0,1.0,,,,,,,,,,3508.0,,,,,,,,2000-07-15 00:00:00+00:00
5572,2000,7,16,3,21,45.5,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,33.0,6.4,2.0,6.1,True,2.0,,3.0,PHILIPPINES,170,6.0,1.0,,,,3.0,6.4,6.3,6.0,1.0,,,,,,,,,,5994.0,,,,,,,,2000-07-16 00:00:00+00:00
5573,2002,7,22,5,45,3.0,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,17.0,4.8,1.0,4.8,True,1.0,,,GERMANY,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-22 00:00:00+00:00
5574,2000,8,4,21,13,2.7,"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,10.0,6.8,1.0,6.3,True,1.0,1390.0,4.0,RUSSIA,50,8.0,1.0,,,1390.0,4.0,6.8,7.1,8.0,1.0,,,,,0.92,,,,0.92,,6.0,,,,,,,2000-08-04 00:00:00+00:00
5575,2000,8,21,13,25,44.5,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,33.0,4.2,4.0,4.9,True,4.0,,,CHINA,30,406.0,3.0,,,,,,4.2,406.0,3.0,,,1.0,1.0,43.0,,1.0,1.0,43.0,,,,,,,,,2000-08-21 00:00:00+00:00
5576,2000,9,3,8,36,30.0,CALIFORNIA:  NAPA,38.379,-122.413,10.0,5.0,4.0,4.9,True,4.0,,,USA,150,41.0,1.0,,,,,5.0,4.9,41.0,1.0,,,,,50.0,,,,50.0,,7.0,,CA,,,,,2000-09-03 00:00:00+00:00
5577,2000,10,2,2,25,31.3,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,34.0,6.5,1.0,6.1,True,1.0,150.0,3.0,TANZANIA,10,6.0,1.0,7.0,1.0,150.0,3.0,6.5,6.7,6.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,2000-10-02 00:00:00+00:00
5578,2000,10,6,4,30,19.1,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,10.0,6.7,4.0,5.8,True,4.0,2230.0,4.0,JAPAN,30,130.0,3.0,104.0,3.0,2230.0,4.0,6.7,6.8,130.0,3.0,104.0,3.0,,,150.0,,,,150.0,,9.0,,,,,,,2000-10-06 00:00:00+00:00
