id,time_ms,longitude,latitude,depth_km,magnitude,mag_type,place,sig,felt,cdi,mmi,alert,tsunami,type,url,time
us7000jju1,1678767887912,-141.7994,-56.6423,10.0,5.5,mww,Pacific-Antarctic Ridge,465,,,0.0,green,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jju1,2023-03-14 04:24:47.912000+00:00
us7000jjr6,1678768175553,-75.849,-15.1657,10.0,4.4,mb,"77 km WNW of San Juan, Peru",298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjr6,2023-03-14 04:29:35.553000+00:00
us7000jkwi,1678768605947,141.9044,37.9164,50.0,4.3,mb,"71 km SE of Onagawa Chō, Japan",284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwi,2023-03-14 04:36:45.947000+00:00
us7000jkwc,1678768681908,102.9013,-2.8431,224.239,4.2,mb,"50 km N of Lubuklinggau, Indonesia",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwc,2023-03-14 04:38:01.908000+00:00
us7000jkwj,1678768907643,148.515,-6.7304,35.0,4.2,mb,"New Britain region, Papua New Guinea",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwj,2023-03-14 04:41:47.643000+00:00
us7000jjrd,1678770419998,-72.9977,6.8028,157.397,4.5,mb,"5 km NNW of Cepitá, Colombia",312,1.0,2.0,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjrd,2023-03-14 05:06:59.998000+00:00
us7000jjrw,1678776454436,36.9544,38.0681,3.289,4.6,mwr,"20 km S of Afşin, Turkey",326,1.0,2.7,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjrw,2023-03-14 06:47:34.436000+00:00
us7000jjs2,1678777874718,-71.2468,-26.9138,11.804,4.5,mb,"103 km WNW of Copiapó, Chile",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjs2,2023-03-14 07:11:14.718000+00:00
us7000jjsn,1678788074443,159.6598,51.6189,10.0,4.9,mb,"169 km SSE of Vilyuchinsk, Russia",369,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjsn,2023-03-14 10:01:14.443000+00:00
us7000jjsw,1678789431692,127.962,2.2757,10.0,4.5,mb,"60 km N of Tobelo, Indonesia",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjsw,2023-03-14 10:23:51.692000+00:00
us7000jjsx,1678790146288,-91.5121,14.4412,116.622,4.2,mb,Guatemala,272,1.0,2.0,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjsx,2023-03-14 10:35:46.288000+00:00
us7000jkwl,1678795950744,25.4938,-53.3496,10.0,4.5,mb,south of Africa,312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwl,2023-03-14 12:12:30.744000+00:00
us7000jkwt,1678801835545,126.9355,5.7913,154.503,4.2,mb,"104 km SE of Pondaguitan, Philippines",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwt,2023-03-14 13:50:35.545000+00:00
us7000jjv5,1678805389524,37.3899,37.7899,10.0,4.6,mwr,Central Turkey,326,1.0,2.0,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjv5,2023-03-14 14:49:49.524000+00:00
us7000jjve,1678811759096,22.179,35.5167,10.0,5.4,mww,"101 km SW of K?thira, Greece",449,1.0,2.0,3.305,green,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjve,2023-03-14 16:35:59.096000+00:00
us7000jkwu,1678816858993,-110.8534,-32.049,10.0,4.1,mb,southern East Pacific Rise,259,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwu,2023-03-14 18:00:58.993000+00:00
us7000jkwv,1678816985921,-178.8267,-17.3678,535.493,4.3,mb,"211 km ENE of Levuka, Fiji",284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwv,2023-03-14 18:03:05.921000+00:00
us7000jjwt,1678823799183,-75.2656,-38.3815,8.0,5.5,mww,"165 km WSW of Lebu, Chile",465,,,3.362,green,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjwt,2023-03-14 19:56:39.183000+00:00
us7000jjxc,1678827344209,-69.4513,-17.5274,169.435,4.5,mb,"60 km E of Estique, Peru",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjxc,2023-03-14 20:55:44.209000+00:00
us7000jjxe,1678827908655,139.7601,36.0485,67.95,4.3,mb,"3 km ENE of Sugito, Japan",295,26.0,4.1,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjxe,2023-03-14 21:05:08.655000+00:00
